"gamma","state_code","n","pairs","pres","cohesion","cap6","pct_ceil","eq_min","n_tiny","disp_km"
0,"15",125,318,242,76.1006289308176,289,83.7370242214533,0.992422658065798,0,26.952431432384
0.15,"15",125,318,245,77.0440251572327,289,84.7750865051903,0.506816967755321,0,23.1172150245694
0.3,"15",125,318,249,78.3018867924528,289,86.159169550173,0.448314726807502,0,19.5787984691456
0.45,"15",125,318,251,78.9308176100629,289,86.8512110726644,0.448280797171994,0,16.2449725571828
0.6,"15",125,318,249,78.3018867924528,289,86.159169550173,0.44814337342951,0,13.9352891872777
0.8,"15",125,318,252,79.2452830188679,289,87.19723183391,0.447147221910246,0,12.7307928167666
1,"15",125,318,249,78.3018867924528,289,86.159169550173,0.454572760018408,0,12.187641695827
0,"16",113,289,238,82.3529411764706,267,89.1385767790262,0.99108396813832,0,46.7579788689971
0.15,"16",113,289,239,82.6989619377163,267,89.5131086142322,0.755764927154773,0,40.7965007069139
0.3,"16",113,289,242,83.7370242214533,267,90.6367041198502,0.562160084103098,0,34.3029370145558
0.45,"16",113,289,244,84.4290657439446,267,91.3857677902622,0.448611358454453,0,27.9965071842623
0.6,"16",113,289,247,85.4671280276817,267,92.5093632958801,0.459573625000594,0,23.9538263663362
0.8,"16",113,289,253,87.5432525951557,267,94.7565543071161,0.486489890708681,0,21.0521551668604
1,"16",113,289,255,88.2352941176471,267,95.5056179775281,0.518772068674441,0,19.8440230037861
0,"17",36,85,72,84.7058823529412,82,87.8048780487805,0.996524340701327,0,6.93398904359229
0.15,"17",36,85,71,83.5294117647059,82,86.5853658536585,0.766601351502105,0,6.0077707184909
0.3,"17",36,85,73,85.8823529411765,82,89.0243902439024,0.581387429566957,0,5.03327152067123
0.45,"17",36,85,73,85.8823529411765,82,89.0243902439024,0.449571704807602,0,4.03538378698247
0.6,"17",36,85,74,87.0588235294118,82,90.2439024390244,0.451007112318538,0,3.27331381507793
0.8,"17",36,85,74,87.0588235294118,82,90.2439024390244,0.460633983442553,0,2.65584144455166
1,"17",36,85,75,88.2352941176471,82,91.4634146341463,0.481005908122138,0,2.46123598075684
0,"18",20,42,37,88.0952380952381,41,90.2439024390244,0.991190496280885,0,22.4706706089769
0.15,"18",20,42,37,88.0952380952381,41,90.2439024390244,0.824721263128056,0,19.7516068241988
0.3,"18",20,42,37,88.0952380952381,41,90.2439024390244,0.672733448111495,0,16.9723725916771
0.45,"18",20,42,37,88.0952380952381,41,90.2439024390244,0.541090592363512,0,14.1294693630139
