"region","lon","lat"
"12013",-98.5721169745672,16.6854753481759
"12014",-100.427401414158,17.0976159343298
"12015",-99.4224421532537,18.4622955858338
"12016",-101.649693294118,18.2824750957441
"12017",-99.711405307025,18.132883802517
"12018",-98.929525276212,16.6071142394005
"12019",-99.0523699351088,17.9819469939602
"12020",-98.7004402665476,17.4322995069258
"12021",-100.059354655021,17.1423132226335
"12022",-100.929612538747,18.0817488871676
"12023",-98.517110223882,16.4626487771187
"12024",-98.6719048122893,17.7393727192424
"12025",-98.965343549132,16.7186884542053
"12026",-99.8146860815964,18.1233656170089
"12027",-100.618506476645,18.6600694446672
"12028",-99.1107935105681,17.5235915142067
"12029",-99.6973183166632,17.390884821807
"12030",-99.1342396873878,16.6936146217637
"12031",-100.103995445952,18.4416407307196
"12032",-100.027207014334,17.7331685118894
"12033",-98.5466308091137,17.8110573150487
"12034",-99.2523918933472,18.2311406903814
"12035",-99.581203851875,18.2279107440967
"12036",-98.4933740637795,16.8007031423478
"12037",-99.7650829134688,18.4625994533779
"12038",-101.434466280904,17.8182564199286
"12039",-99.4712524945856,17.1403444521601
"12040",-99.7966452445276,17.6325817887249
"12041",-98.7035276824079,17.1482246618504
"12042",-99.358717605438,17.8334332988365
"12043",-98.4434723279247,17.1367047500123
"12044",-99.3709594591306,17.3377510378778
"12045",-98.7826252827592,17.8980458671755
"12046",-98.3521655434918,16.6615055000371
"12047",-99.8704071223586,18.5437499853794
"12048",-101.159869365581,17.6195850770615
"12049",-99.605885741523,18.7036202833327
"12050",-100.613488422122,18.3461360474067
"12051",-99.1847300460028,17.3127357122606
"12052",-98.7504035176204,16.8761982825187
"12053",-99.4084271315849,16.8079882393042
"12054",-100.317938717313,17.8396160404927
"12055",-99.5978874999875,18.5190531473066
"12056",-99.295195658056,16.9804419330476
"12057",-100.744639888292,17.4061182936806
"12058",-99.9125847144579,18.3599123112216
"12059",-99.4684405413415,18.1015231761146
"12060",-99.674244694084,18.6492683427614
"12061",-99.3676246089364,17.6000338367248
"12062",-98.2754403164329,16.9409362187952
"12063",-98.7866372157832,17.2291206018143
"12064",-100.434179435181,18.427083728682
"12065",-98.4075728242527,17.5691633835297
"12066",-98.6173832886162,17.5642992584239
"12067",-100.456467461608,18.2809194437239
"12068",-101.853741664503,18.0162317200208
"12069",-98.5388925562307,17.4296519479064
"12070",-98.5105772518537,17.9045593950983
"12071",-98.1570573334862,16.8691898659291
"12072",-98.8292141061241,17.3246752575341
"12073",-101.219258293887,18.3443685997197
"12074",-99.1846850898994,17.7493265856524
"12075",-99.6107304079318,17.8019437261912
"12076",-98.9754852134869,17.1736596493299
"12077",-98.7457814743327,16.6382874877004
"12078",-98.4212582859154,17.0982324070239
"12079",-98.9958225899503,17.4435143712726
"12080",-98.6771108363894,16.5937513424025
"12081",-98.6352352056312,17.0467861424521
"13001",-98.4401728670645,20.2085356262041
"13002",-98.1981312057051,20.1606700747596
"13003",-98.8900389534418,20.3150073560615
"13004",-98.3683591585039,20.3621418000016
"13005",-99.0800948472957,20.1212200511392
"13006",-99.4050515075456,20.4079499594118
"13007",-98.3261460424407,19.7419476542713
"13008",-98.4449540108106,19.7238328694275
"13009",-98.8827235716906,20.2164007758492
"13010",-99.2232257037303,20.0551167338196
"13011",-98.3638841908394,21.0292213787331
"13012",-98.6765538205242,20.3562320611997
"13013",-99.2302761635154,19.9743715329869
"13014",-98.5486009624184,20.9070980244364
"13015",-99.0597392501517,20.6008619559221
"13016",-98.2819143146955,19.9859726358841
"13017",-99.4733633450447,20.2646714717239
"13018",-98.9496548940478,21.1299241154088
"13019",-99.2540818823477,20.3261104949377
"13020",-98.8799292349376,20.7421327880971
"13021",-98.6012300009104,19.6598470103111
"13022",-98.646640987646,20.0301746828733
"13023",-99.0801087633261,20.2358480370035
"13024",-98.5435827103243,20.225844188306
"13025",-98.2476659191086,21.0379543931192
"13026",-98.4899527170462,20.9967495923667
"13027",-98.0648787438325,20.510214508756
"13028",-98.4545321813087,21.1285952581714
"13029",-99.6812232815094,20.3832423766422
"13030",-99.2017866853973,20.5328446940723
"13031",-99.1480307704908,20.9713506534753
"13032",-98.527946654763,21.1522519382987
"13033",-98.8368931125449,20.8330773724796
"13034",-98.7244149221703,20.9686206019095
"13035",-98.3411970546997,20.2564924270201
"13036",-98.6040972623617,20.5235423488097
"13037",-98.809836155025,20.5660250715028
"13038",-98.7518400075094,20.223568244377
"13039",-98.658782473281,20.1390150022682
"13040",-99.0682749986234,21.0692212056148
